"","Sport","Walk","Travel","Fish","Gender","Age","Marital.St","Prof"
"23032710","1","0","0","0","F","[15,25]","Single","Technician"
"23033010","0","0","0","0","F","(35,45]","Married","Employee"
"23033110","0","0","0","0","M","(45,55]","Married","Manual labourer"
"23033210","1","0","0","0","M","(45,55]","Married","Employee"
"23033310","0","0","1","0","F","(35,45]","Married","Employee"
"23033610","0","0","0","0","F","(55,65]","Widower","Unskilled worker"
"23033810","0","1","1","0","M","(55,65]","Married","Employee"
"23033910","0","1","1","0","M","(35,45]","Single","Manual labourer"
"23034210","0","0","0","0","F","(45,55]","Remarried","Employee"
"23034310","0","0","1","0","F","(25,35]","Single","Foreman"
"23034510","0","0","0","0","F","[15,25]","Single","Employee"
"23034710","0","0","0","1","M","(35,45]","Divorcee","Manual labourer"
"23035310","0","1","0","0","F","(25,35]","Married","Employee"
"23035410","0","1","0","0","F","(45,55]","Married","Employee"
"23035610","0","0","0","0","M","(45,55]","Married","Manual labourer"
"23035710","0","0","0","0","F","(25,35]","Remarried","Employee"
"23035810","0","0","0","0","M","(55,65]","Married","Manual labourer"
"23036010","0","0","0","0","F","(55,65]","Widower","Employee"
"23036310","1","1","1","0","F","(65,75]","Widower","Employee"
"23037110","0","0","0","0","M","(45,55]","Married","Manual labourer"
"23037210","0","0","0","1","F","(35,45]","Married","Manual labourer"
"23037410","0","0","0","0","F","(35,45]","Married","Employee"
"23037710","0","0","0","0","M","(35,45]","Married","Foreman"
"23037810","0","0","0","0","M","(25,35]","Married","Manual labourer"
"23038210","1","0","1","0","F","(45,55]","Widower","Employee"
"23038310","0","1","0","0","F","(75,85]","Widower","Employee"
"23038610","1","0","1","0","F","(25,35]","Single","Employee"
"23038710","0","0","0","0","F","(65,75]","Married","Employee"
"23038810","0","1","0","1","M","(25,35]","Remarried","Unskilled worker"
"23038910","0","0","1","0","F","(25,35]","Married","Employee"
"23039010","0","0","0","0","F","(35,45]","Divorcee","Employee"
"23039110","0","0","1","0","F","(35,45]","Divorcee","Employee"
"23039310","0","0","0","0","M","(55,65]","Married","Manual labourer"
"23039410","0","0","0","0","M","(45,55]","Married","Manual labourer"
"23039510","1","1","1","0","M","[15,25]","Single","Employee"
"23039610","0","0","0","0","M","(35,45]","Married","Manual labourer"
"23039910","0","0","0","0","M","(45,55]","Married","Manual labourer"
"23040010","0","0","0","0","M","(65,75]","Married","Manual labourer"
"23040110","0","1","0","0","M","(55,65]","Married","Employee"
"23040210","0","0","1","0","M","(45,55]","Single","Management"
"23040310","1","1","1","0","F","(45,55]","Married","Employee"
"23040410","0","0","1","0","F","(35,45]","Married","Employee"
"23040510","1","1","0","1","M","[15,25]","Single","Foreman"
"23040610","1","0","1","0","M","(35,45]","Single","Management"
"23040910","0","0","0","1","M","(25,35]","Single","Unskilled worker"
"23041010","0","0","1","0","F","(55,65]","Remarried","Unskilled worker"
"23041110","0","0","0","0","F","(25,35]","Divorcee","Unskilled worker"
"23041310","0","0","0","0","F","(35,45]","Divorcee","Employee"
"23041510","0","1","1","0","F","(45,55]","Married","Employee"
"23041710","0","1","0","0","M","(35,45]","Married","Manual labourer"
"23041810","1","1","0","0","M","(35,45]","Married","Manual labourer"
"23041910","0","0","0","0","F","(45,55]","Married","Unskilled worker"
"23042110","0","1","0","0","M","(65,75]","Married","Manual labourer"
"23042210","1","1","0","0","M","(55,65]","Married","Manual labourer"
"23042510","0","0","0","1","F","(35,45]","Married","Unskilled worker"
"23042610","0","1","0","0","F","[15,25]","Single","Unskilled worker"
"23042710","0","0","0","0","F","(55,65]","Widower","Unskilled worker"
"23042810","1","1","0","0","F","(45,55]","Married","Employee"
"23042910","0","1","0","1","F","(55,65]","Divorcee","Management"
"23043010","0","1","1","0","M","(55,65]","Married","Employee"
"23043110","0","1","1","0","M","(45,55]","Divorcee","Unskilled worker"
"23043310","1","0","0","0","M","[15,25]","Single","Unskilled worker"
"23043410","0","1","0","0","M","(25,35]","Single","Unskilled worker"
"23043510","0","1","0","0","F","(65,75]","Married","Employee"
"23043610","0","0","1","0","F","[15,25]","Single","Employee"
"23043710","1","0","0","0","M","(35,45]","Divorcee","Employee"
"23043910","0","1","0","0","F","(25,35]","Single","Employee"
"23044010","1","1","1","0","F","[15,25]","Single","Foreman"
"23044110","0","1","1","0","M","(55,65]","Divorcee","Unskilled worker"
"23044310","1","0","0","0","M","(35,45]","Married","Other"
"23044510","0","1","0","0","M","(55,65]","Married","Management"
"23044610","0","0","0","0","F","(35,45]","Single","Employee"
"23044910","0","0","0","0","F","(65,75]","Widower","Employee"
"23045010","0","0","0","0","F","(45,55]","Divorcee","Employee"
"23045110","1","1","1","0","M","[15,25]","Single","Technician"
"23045210","0","1","1","0","F","(45,55]","Remarried","Employee"
"23045410","1","0","0","0","M","(45,55]","Single","Foreman"
"23045510","0","0","0","0","F","(25,35]","Married","Employee"
"23045710","0","1","0","0","F","(55,65]","Divorcee","Foreman"
"23045810","0","0","1","0","M","(25,35]","Single","Management"
"23046210","1","0","1","0","M","[15,25]","Single","Employee"
"23046310","0","0","0","0","F","(25,35]","Remarried","Employee"
"23046410","0","0","0","0","F","(25,35]","Single","Manual labourer"
"23046810","0","0","0","0","F","(75,85]","Widower","Employee"
"23046910","0","1","0","0","F","(25,35]","Divorcee","Employee"
"23047010","0","1","0","0","F","(65,75]","Married","Employee"
"23047110","0","1","0","0","M","(75,85]","Remarried","Management"
"23047210","0","0","0","0","M","(45,55]","Married","Foreman"
"23047310","0","1","1","0","F","(65,75]","Married","Unskilled worker"
"23047510","1","1","0","0","M","(35,45]","Remarried","Manual labourer"
"23047610","0","0","0","1","M","(55,65]","Married","Manual labourer"
"23047810","1","1","0","0","M","[15,25]","Single","Manual labourer"
"23048110","0","0","0","0","M","(45,55]","Married","Manual labourer"
"23048310","0","1","1","0","F","(45,55]","Married","Employee"
"23048410","0","0","0","0","F","(45,55]","Divorcee","Employee"
"23048510","1","1","0","1","F","(45,55]","Married","Employee"
"23048710","0","1","0","0","F","(25,35]","Single","Employee"
"23048810","1","1","0","0","M","(25,35]","Single","Manual labourer"
"23048910","1","0","1","1","M","(35,45]","Divorcee","Foreman"
"23049010","1","1","1","1","F","(45,55]","Married","Foreman"
"23049110","1","1","0","0","M","(35,45]","Single","Unskilled worker"
"23049310","1","0","0","0","F","(35,45]","Married","Management"
"23049510","1","0","0","0","F","(25,35]","Married","Employee"
"23050110","0","0","0","0","M","(65,75]","Widower","Management"
"23050610","0","1","0","0","M","(35,45]","Married","Manual labourer"
"23051010","0","0","0","0","F","[15,25]","Single","Employee"
"23051110","0","1","0","0","F","(35,45]","Married","Employee"
"23051210","1","1","1","0","M","(45,55]","Divorcee","Foreman"
"23051410","0","0","0","0","F","(35,45]","Married","Employee"
"23051610","0","0","0","0","M","(55,65]","Married","Management"
"23051710","0","0","1","0","M","(35,45]","Married","Manual labourer"
"23051810","1","1","0","1","M","(35,45]","Single","Management"
"23051910","0","0","1","0","F","(55,65]","Married","Employee"
"23052310","0","1","0","0","M","(45,55]","Remarried","Manual labourer"
"23052410","1","1","1","0","M","(55,65]","Married","Foreman"
"23052810","1","1","0","0","F","(25,35]","Married","Employee"
"23052910","0","0","0","0","F","(45,55]","Remarried","Management"
"23053210","1","0","1","1","F","(55,65]","Married","Employee"
"23053310","0","0","1","1","M","(45,55]","Married","Employee"
"23053410","1","1","1","0","F","(45,55]","Married","Manual labourer"
"23053510","0","0","0","0","F","(45,55]","Remarried","Employee"
"23053610","0","1","1","0","F","(45,55]","Married","Employee"
"23053710","0","0","1","0","M","(55,65]","Married","Employee"
"23053910","0","0","1","0","M","(45,55]","Married","Technician"
"23054010","0","0","1","0","M","(65,75]","Remarried","Management"
"23054210","1","1","1","0","M","(45,55]","Married","Management"
"23054510","1","1","0","0","F","(45,55]","Remarried","Employee"
"23055010","1","1","1","0","M","(35,45]","Married","Employee"
"23055110","0","1","1","0","F","(45,55]","Widower","Technician"
"23055310","1","1","0","0","M","(35,45]","Single","Employee"
"23055410","0","1","0","0","F","(45,55]","Single","Unskilled worker"
"23055510","0","0","0","0","F","(25,35]","Married","Employee"
"23055710","0","0","0","0","F","(25,35]","Single","Unskilled worker"
"23055810","1","1","1","0","F","(45,55]","Married","Management"
"23056010","0","1","0","0","F","(55,65]","Widower","Employee"
"23056610","0","1","0","1","M","(55,65]","Married","Unskilled worker"
"23057210","0","0","0","0","M","(55,65]","Divorcee","Management"
"23057310","0","0","0","0","M","(45,55]","Married","Unskilled worker"
"23057410","1","1","0","0","M","(55,65]","Married","Technician"
"23057510","1","1","1","1","M","(45,55]","Married","Manual labourer"
"23057610","0","0","0","1","M","(45,55]","Divorcee","Foreman"
"23058110","1","1","1","0","F","(45,55]","Married","Technician"
"23058310","0","1","1","1","M","(55,65]","Married","Manual labourer"
"23058410","1","0","0","0","F","(25,35]","Single","Employee"
"23058510","0","0","0","0","F","(35,45]","Married","Employee"
"23058710","0","0","1","0","F","(55,65]","Divorcee","Employee"
"23058910","0","0","0","0","F","(35,45]","Married","Employee"
"23059010","0","1","0","0","M","(45,55]","Divorcee","Unskilled worker"
"23059110","0","0","0","0","F","(45,55]","Divorcee","Management"
"23059210","1","0","1","0","M","(35,45]","Married","Foreman"
"23059310","0","0","1","0","F","[15,25]","Single","Employee"
"23059610","0","0","0","0","F","(45,55]","Divorcee","Employee"
"23059710","0","1","0","0","F","(25,35]","Married","Employee"
"23060210","1","1","1","0","M","(45,55]","Married","Employee"
"23060410","0","0","1","0","F","(75,85]","Widower","Foreman"
"23060710","1","1","1","0","M","(55,65]","Married","Management"
"23060810","1","0","1","0","M","(35,45]","Married","Management"
"23060910","0","1","0","1","M","(45,55]","Divorcee","Technician"
"23061010","0","1","0","0","F","(55,65]","Single","Foreman"
"23061110","1","0","1","0","F","(25,35]","Married","Employee"
"23061210","1","1","0","0","F","(25,35]","Single","Employee"
"23061310","1","0","1","0","M","(35,45]","Single","Management"
"23061510","0","0","0","0","F","(55,65]","Married","Employee"
"23061710","1","1","1","0","F","(45,55]","Remarried","Employee"
"23061810","0","1","0","0","F","(55,65]","Single","Management"
"23062110","0","0","0","0","F","(25,35]","Single","Unskilled worker"
"23062310","0","1","1","0","F","(25,35]","Single","Foreman"
"23062410","0","0","1","0","F","(35,45]","Married","Management"
"23062710","1","0","1","0","M","(55,65]","Married","Management"
"23062810","0","0","0","0","F","(45,55]","Divorcee","Employee"
"23062910","0","0","0","0","F","(25,35]","Married","Employee"
"23063010","0","0","1","0","M","[15,25]","Single","Employee"
"23063410","0","0","0","0","F","(45,55]","Married","Employee"
"23063510","0","1","0","0","F","(45,55]","Married","Other"
"23063710","0","0","0","0","F","(45,55]","Married","Employee"
"23063810","1","0","1","0","F","[15,25]","Single","Foreman"
"23063910","0","0","1","0","F","(45,55]","Married","Employee"
"23064010","0","0","0","0","M","(45,55]","Married","Technician"
"23064110","0","1","1","0","M","(55,65]","Married","Foreman"
"23064210","0","0","0","0","M","(25,35]","Married","Management"
"23064310","1","0","1","0","M","(25,35]","Single","Management"
"23064510","0","0","1","0","F","(45,55]","Married","Management"
"23064910","0","1","0","0","F","(65,75]","Widower","Employee"
"23065010","0","0","0","0","F","(65,75]","Married","Foreman"
"23065210","1","1","1","0","F","(35,45]","Divorcee","Foreman"
"23065810","0","0","1","0","F","(55,65]","Married","Management"
"23066010","0","0","0","1","M","(25,35]","Married","Manual labourer"
"23066110","0","0","1","0","F","(35,45]","Divorcee","Employee"
"23066210","1","0","1","1","M","(35,45]","Remarried","Foreman"
"23066410","1","1","1","0","F","(25,35]","Married","Employee"
"23066610","0","0","0","0","M","(45,55]","Married","Manual labourer"
"23066710","1","0","1","0","M","(35,45]","Single","Management"
"23066810","0","1","0","0","F","(45,55]","Married","Management"
"23066910","0","0","0","0","F","(25,35]","Married","Foreman"
"23067510","0","0","0","0","M","(45,55]","Remarried","Manual labourer"
"23067710","0","0","1","0","M","(45,55]","Married","Management"
"23067810","0","0","1","0","F","(35,45]","Married","Employee"
"23068010","1","0","0","0","F","(35,45]","Married","Employee"
"23068110","1","0","1","0","F","(35,45]","Married","Employee"
"23068510","1","0","1","0","F","(45,55]","Married","Employee"
"23068610","1","1","1","0","M","(25,35]","Married","Technician"
"23068810","0","0","0","0","F","(45,55]","Married","Employee"
"23069410","0","1","1","0","M","(35,45]","Married","Management"
"23069610","0","0","1","0","M","(65,75]","Remarried","Foreman"
"23069710","1","0","0","0","M","(25,35]","Single","Manual labourer"
"23069810","0","0","1","0","M","(45,55]","Married","Foreman"
"23069910","0","0","1","0","M","(45,55]","Married","Management"
"23070010","0","0","1","0","M","(55,65]","Remarried","Management"
"23070110","0","0","0","0","F","(45,55]","Married","Employee"
"23070210","0","1","1","0","F","(45,55]","Married","Foreman"
"23070410","0","0","1","0","M","(35,45]","Married","Foreman"
"23070610","1","0","1","0","F","[15,25]","Single","Employee"
"23070710","0","1","0","0","F","(35,45]","Divorcee","Unskilled worker"
"23070910","0","0","1","0","M","(65,75]","Married","Foreman"
"23071110","1","1","0","0","M","(35,45]","Married","Employee"
"23071210","0","0","0","0","M","(35,45]","Married","Manual labourer"
"23071310","1","1","1","0","M","(25,35]","Married","Management"
"23071410","0","0","0","0","M","(75,85]","Single","Foreman"
"23071510","0","1","1","0","F","(45,55]","Married","Management"
"23071610","0","0","1","0","M","(35,45]","Married","Foreman"
"23071710","1","1","0","0","F","(35,45]","Married","Employee"
"23071810","1","1","1","0","F","(55,65]","Married","Employee"
"23072010","0","1","1","0","F","(35,45]","Married","Employee"
"23072110","0","0","0","0","F","(25,35]","Single","Employee"
"23072310","0","1","0","0","M","(45,55]","Married","Unskilled worker"
"23072410","0","0","1","0","M","(45,55]","Single","Management"
"23072510","1","1","0","0","F","(45,55]","Divorcee","Employee"
"23072610","1","1","0","1","M","(25,35]","Single","Technician"
"23072710","0","0","0","0","M","(65,75]","Married","Unskilled worker"
"23072810","0","1","1","0","F","(35,45]","Married","Management"
"23073210","1","0","1","0","F","(35,45]","Married","Employee"
"23073310","0","1","0","0","F","(45,55]","Married","Management"
"23073510","0","0","0","0","F","(45,55]","Married","Employee"
"23073810","0","1","0","0","M","(45,55]","Married","Employee"
"23073910","0","1","1","0","M","(55,65]","Remarried","Manual labourer"
"23074110","1","0","1","0","F","(35,45]","Married","Employee"
"23074210","0","0","0","0","F","(55,65]","Married","Other"
"23074510","0","0","0","0","M","(25,35]","Married","Manual labourer"
"23074710","0","0","1","0","F","(35,45]","Married","Employee"
"23074810","1","0","1","1","F","(45,55]","Married","Management"
"23075010","1","0","1","0","F","(65,75]","Widower","Employee"
"23075110","0","1","0","0","F","(35,45]","Married","Employee"
"23075210","0","0","0","0","F","(55,65]","Remarried","Employee"
"23075510","0","1","1","0","F","(35,45]","Married","Employee"
"23075810","0","0","0","0","F","(35,45]","Married","Employee"
"23076010","0","0","0","0","F","(75,85]","Divorcee","Manual labourer"
"23076310","1","0","0","1","M","(45,55]","Married","Manual labourer"
"23077010","1","0","1","0","M","(25,35]","Married","Manual labourer"
"23077110","0","1","0","0","F","(25,35]","Divorcee","Employee"
"23077210","0","0","0","0","M","(45,55]","Married","Foreman"
"23077310","1","1","0","0","F","(45,55]","Remarried","Employee"
"23077410","0","0","0","0","F","(45,55]","Married","Employee"
"23077510","0","0","0","0","F","(45,55]","Married","Employee"
"23077710","1","0","1","1","M","(35,45]","Divorcee","Technician"
"23077810","0","0","0","1","M","(45,55]","Married","Technician"
"23078010","0","1","0","0","F","(45,55]","Remarried","Employee"
"23078110","0","0","1","0","M","(65,75]","Married","Management"
"23078210","0","0","0","0","M","(25,35]","Single","Technician"
"23078410","0","0","0","0","M","(25,35]","Married","Employee"
"23078610","0","1","1","0","F","(55,65]","Married","Other"
"23078810","1","1","1","1","M","(35,45]","Married","Foreman"
"23078910","0","1","0","0","F","(45,55]","Married","Foreman"
"23079010","0","0","0","0","F","(55,65]","Widower","Employee"
"23079110","0","1","1","0","F","(45,55]","Widower","Foreman"
"23079310","0","0","0","0","F","(55,65]","Remarried","Manual labourer"
"23079510","0","0","0","0","M","(45,55]","Married","Foreman"
"23079610","1","1","1","0","M","(25,35]","Single","Management"
"23079710","0","1","0","0","F","(35,45]","Married","Employee"
"23080110","0","1","1","0","F","(25,35]","Single","Employee"
"23080210","1","1","1","0","M","[15,25]","Single","Other"
"23080310","0","0","0","0","F","(35,45]","Married","Employee"
"23080410","0","1","1","0","M","(55,65]","Married","Unskilled worker"
"23080510","0","1","1","0","M","(55,65]","Married","Unskilled worker"
"23080810","0","0","0","0","M","(35,45]","Married","Foreman"
"23080910","0","1","0","0","F","(35,45]","Remarried","Foreman"
"23081010","1","1","1","0","F","(45,55]","Married","Technician"
"23081110","0","0","1","0","F","(45,55]","Married","Employee"
"23081210","1","0","0","1","M","(35,45]","Married","Management"
"23081310","1","1","1","1","F","(45,55]","Divorcee","Employee"
"23081510","1","1","0","0","M","(55,65]","Married","Manual labourer"
"23081610","0","1","0","0","F","(45,55]","Married","Employee"
"23081810","1","1","1","0","M","(45,55]","Married","Management"
"23081910","0","1","1","0","M","(55,65]","Remarried","Management"
"23082110","0","1","0","0","M","(25,35]","Single","Manual labourer"
"23082210","0","1","1","0","F","(45,55]","Married","Employee"
"23082410","1","1","1","0","F","(25,35]","Remarried","Employee"
"23082510","0","0","0","0","F","(55,65]","Divorcee","Employee"
"23082610","1","0","0","0","M","(25,35]","Single","Employee"
"23082710","0","1","1","0","F","(35,45]","Married","Employee"
"23083110","0","0","1","0","F","(55,65]","Married","Employee"
"23083210","0","1","1","0","F","(45,55]","Married","Employee"
"23083310","1","1","1","0","M","(55,65]","Remarried","Management"
"23083510","0","1","1","0","F","(65,75]","Single","Foreman"
"23083610","0","1","1","0","F","(35,45]","Married","Management"
"23083710","0","1","1","0","M","(55,65]","Married","Management"
"23083810","0","0","0","0","F","(65,75]","Widower","Employee"
"23083910","0","1","1","0","M","(65,75]","Married","Foreman"
"23084110","0","1","1","0","M","(45,55]","Married","Management"
"23084210","1","1","1","0","F","(35,45]","Married","Employee"
"23084410","1","1","1","0","F","(25,35]","Single","Employee"
"23084510","1","1","0","0","F","(45,55]","Single","Management"
"23084610","1","0","1","1","M","[15,25]","Single","Employee"
"23084810","0","0","1","0","M","(45,55]","Married","Management"
"23084910","1","1","1","0","M","(35,45]","Single","Other"
"23085010","0","0","1","0","F","(45,55]","Married","Employee"
"23085310","0","0","0","0","M","(45,55]","Married","Unskilled worker"
"23085610","0","1","0","0","M","[15,25]","Single","Manual labourer"
"23085710","0","0","0","0","M","(75,85]","Married","Technician"
"23085810","0","0","1","0","F","(75,85]","Widower","Manual labourer"
"23085910","0","1","0","0","F","(45,55]","Divorcee","Employee"
"23086010","1","0","0","0","F","(35,45]","Married","Employee"
"23086610","0","0","1","0","F","(55,65]","Married","Employee"
"23086910","0","0","0","1","M","(55,65]","Divorcee","Foreman"
"23087210","0","0","1","0","M","(55,65]","Married","Management"
"23087310","0","0","0","0","M","[15,25]","Single","Unskilled worker"
"23087410","0","0","1","0","F","(25,35]","Single","Employee"
"23087610","1","0","1","0","M","[15,25]","Single","Technician"
"23087710","1","0","1","0","M","(35,45]","Married","Management"
"23088110","0","0","0","0","M","(45,55]","Married","Management"
"23088210","1","0","1","0","F","(35,45]","Married","Management"
"23088510","0","0","0","0","F","(25,35]","Married","Employee"
"23088610","0","0","0","0","F","(25,35]","Single","Employee"
"23088710","1","1","1","1","M","(25,35]","Single","Foreman"
"23089010","0","1","1","0","F","(45,55]","Widower","Employee"
"23089310","1","0","0","0","F","(35,45]","Divorcee","Employee"
"23089610","1","0","0","0","M","(55,65]","Married","Management"
"23089810","1","1","0","0","F","(35,45]","Remarried","Employee"
"23090210","0","1","0","0","M","(45,55]","Married","Unskilled worker"
"23090310","0","1","1","0","F","(25,35]","Single","Employee"
"23090410","0","0","0","0","F","(45,55]","Remarried","Employee"
"23090710","1","0","0","0","F","(65,75]","Widower","Employee"
"23091710","0","0","0","0","F","(45,55]","Married","Employee"
"23091810","1","1","1","0","F","(55,65]","Married","Management"
"23092010","1","1","0","0","F","(45,55]","Married","Employee"
"23092510","0","0","0","0","M","(45,55]","Married","Technician"
"23092710","0","1","1","0","M","(55,65]","Married","Foreman"
"23093010","1","0","0","0","M","(65,75]","Single","Management"
"23093210","1","0","0","0","F","(25,35]","Married","Employee"
"23093410","0","1","1","0","M","(45,55]","Married","Manual labourer"
"24000111","1","1","1","0","F","[15,25]","Single","Employee"
"24000112","1","1","1","0","M","(45,55]","Single","Technician"
"24000210","1","0","1","0","F","[15,25]","Single","Foreman"
"24000310","0","0","0","0","F","(45,55]","Married","Employee"
"24000410","0","0","0","0","M","(35,45]","Remarried","Manual labourer"
"24000510","0","0","0","0","M","(55,65]","Married","Foreman"
"24000610","1","1","1","0","F","(25,35]","Single","Employee"
"24000710","0","0","0","0","M","(35,45]","Married","Foreman"
"24001210","1","0","1","0","M","(25,35]","Single","Technician"
"24001410","1","0","0","0","F","(35,45]","Single","Employee"
"24001510","1","0","0","0","F","(25,35]","Single","Foreman"
"24001610","0","1","0","0","F","(75,85]","Widower","Employee"
"24001910","0","0","0","0","F","(65,75]","Married","Employee"
"24002010","0","1","0","0","F","(75,85]","Married","Foreman"
"24002110","1","0","0","0","F","(25,35]","Single","Employee"
"24002510","1","0","0","1","M","(25,35]","Single","Unskilled worker"
"24002710","0","0","1","0","M","(65,75]","Divorcee","Unskilled worker"
"24002810","0","1","1","0","F","(55,65]","Married","Manual labourer"
"24003110","0","0","0","0","F","(25,35]","Single","Manual labourer"
"24003410","0","0","1","0","F","(35,45]","Married","Management"
"24003610","1","0","1","0","M","(25,35]","Single","Technician"
"24003710","0","1","0","0","M","(45,55]","Married","Manual labourer"
"24003910","0","1","0","0","M","(25,35]","Married","Employee"
"24004110","0","0","0","0","M","(25,35]","Single","Unskilled worker"
"24004310","0","0","1","0","F","(55,65]","Widower","Management"
"24004910","0","0","0","0","M","(65,75]","Married","Manual labourer"
"24005010","1","1","0","0","M","(35,45]","Single","Manual labourer"
"24005110","1","0","0","1","M","(55,65]","Married","Technician"
"24005510","1","1","0","1","M","(35,45]","Single","Employee"
"24005710","0","0","0","0","M","(65,75]","Married","Manual labourer"
"24005910","0","0","0","0","M","(85,100]","Widower","Unskilled worker"
"24006010","1","0","0","0","F","[15,25]","Single","Unskilled worker"
"24006410","1","1","0","0","F","(35,45]","Married","Manual labourer"
"24006510","0","0","0","0","F","(45,55]","Married","Employee"
"24007010","0","0","1","1","M","(45,55]","Married","Technician"
"24007110","0","0","1","0","M","(25,35]","Married","Manual labourer"
"24007210","1","0","1","1","F","(25,35]","Married","Employee"
"24007410","1","1","1","0","F","(65,75]","Married","Employee"
"24007510","0","0","0","1","M","(45,55]","Married","Manual labourer"
"24007610","0","0","0","0","F","(55,65]","Married","Employee"
"24007910","0","1","1","0","F","(45,55]","Married","Employee"
"24008310","0","0","1","0","M","(65,75]","Widower","Management"
"24008410","1","1","1","0","F","(45,55]","Remarried","Management"
"24008510","1","0","0","1","M","(45,55]","Remarried","Management"
"24008610","0","1","0","1","M","(45,55]","Married","Manual labourer"
"24008910","1","0","0","1","M","(25,35]","Single","Foreman"
"24009110","1","0","0","0","F","[15,25]","Single","Management"
"24009210","1","1","0","0","M","(35,45]","Married","Technician"
"24009310","1","0","0","0","F","(45,55]","Divorcee","Employee"
"24009410","0","0","0","0","F","(35,45]","Married","Employee"
"24009510","1","0","1","1","M","(45,55]","Divorcee","Management"
"24009810","0","1","0","0","F","(75,85]","Married","Employee"
"24010010","1","1","0","0","F","(45,55]","Married","Employee"
"24010610","0","1","0","0","F","[15,25]","Single","Employee"
"24011010","0","0","0","0","M","(45,55]","Married","Manual labourer"
"24011110","1","0","0","1","M","(35,45]","Married","Employee"
"24011210","0","1","1","0","F","(65,75]","Widower","Employee"
"24011310","0","1","0","0","F","(75,85]","Married","Foreman"
"24011810","1","0","0","0","M","[15,25]","Single","Technician"
"24011910","0","0","0","1","M","(35,45]","Divorcee","Other"
"24012110","1","1","0","0","F","(25,35]","Married","Unskilled worker"
"24012210","1","0","0","0","F","(35,45]","Married","Management"
"24012410","0","0","0","1","M","(35,45]","Divorcee","Manual labourer"
"24012810","0","0","0","0","M","(25,35]","Divorcee","Technician"
"24013310","1","1","1","0","M","(45,55]","Single","Technician"
"24013410","0","1","1","0","F","(65,75]","Married","Employee"
"24013610","0","0","0","0","F","(55,65]","Married","Employee"
"24013810","0","1","1","0","F","(45,55]","Married","Foreman"
"24014210","1","1","1","0","M","(35,45]","Divorcee","Management"
"24014310","0","0","0","0","F","(25,35]","Married","Employee"
"24014410","0","1","0","0","F","(65,75]","Married","Manual labourer"
"24014610","0","0","0","1","F","(35,45]","Single","Employee"
"24015110","1","1","0","0","F","(35,45]","Single","Manual labourer"
"24015210","0","1","0","0","F","(55,65]","Married","Employee"
"24015310","0","1","0","0","M","(55,65]","Divorcee","Manual labourer"
"24015510","1","0","0","0","F","(35,45]","Divorcee","Foreman"
"24016010","0","0","1","1","M","(45,55]","Single","Manual labourer"
"24016110","1","0","0","1","M","(65,75]","Married","Unskilled worker"
"24016210","0","0","0","0","M","(45,55]","Married","Technician"
"24016310","1","0","0","0","M","(35,45]","Married","Management"
"24016510","0","0","0","0","M","(25,35]","Single","Manual labourer"
"24016610","1","1","0","0","F","[15,25]","Single","Employee"
"24016810","0","1","0","0","M","(35,45]","Divorcee","Technician"
"24016910","0","0","1","1","F","(45,55]","Married","Technician"
"24017010","0","0","0","0","F","(35,45]","Remarried","Employee"
"24017110","0","1","1","0","M","(35,45]","Married","Manual labourer"
"24017210","0","1","1","0","F","(45,55]","Divorcee","Unskilled worker"
"24017710","1","0","0","0","M","(35,45]","Divorcee","Unskilled worker"
"24017810","0","0","0","0","M","(55,65]","Married","Unskilled worker"
"24017910","0","1","0","0","F","(55,65]","Widower","Other"
"24018110","0","0","1","0","M","(45,55]","Married","Technician"
"24018210","0","1","0","0","F","(25,35]","Single","Employee"
"24018310","0","0","0","0","F","(65,75]","Married","Employee"
"24018710","0","1","1","0","M","(45,55]","Married","Foreman"
"24018810","0","0","1","0","F","(35,45]","Married","Employee"
"24019010","0","1","1","0","M","(65,75]","Married","Manual labourer"
"24019210","1","1","1","1","M","(25,35]","Married","Employee"
"24019410","0","0","0","0","F","(45,55]","Married","Employee"
"24019610","0","1","0","0","F","(35,45]","Married","Employee"
"24019710","0","0","0","0","F","[15,25]","Single","Employee"
"24019910","0","0","0","0","F","(35,45]","Remarried","Employee"
"24020510","0","0","0","0","M","(35,45]","Married","Employee"
"24020610","0","1","0","0","F","(45,55]","Remarried","Employee"
"24020810","0","1","1","0","F","(75,85]","Widower","Management"
"24021010","0","0","0","0","F","(45,55]","Married","Employee"
"24021410","0","0","0","0","F","(55,65]","Divorcee","Unskilled worker"
"24021510","0","0","0","0","M","(35,45]","Single","Manual labourer"
"24021710","1","1","1","0","F","(35,45]","Married","Management"
"24021910","0","0","0","0","F","(45,55]","Divorcee","Employee"
"24022010","0","1","1","0","F","(55,65]","Widower","Employee"
"24022210","0","0","0","1","M","(45,55]","Married","Foreman"
"24022410","1","1","0","0","M","(45,55]","Married","Manual labourer"
"24022510","0","0","0","0","M","(75,85]","Married","Manual labourer"
"24022610","1","1","0","0","F","(35,45]","Married","Manual labourer"
"24022710","0","0","0","1","M","(45,55]","Married","Technician"
"24022810","0","0","0","1","M","(65,75]","Widower","Employee"
"24022910","1","0","1","0","F","(35,45]","Single","Management"
"24023010","0","0","0","0","F","(75,85]","Divorcee","Manual labourer"
"24023110","1","0","1","0","M","[15,25]","Single","Unskilled worker"
"24023210","0","0","0","0","F","(45,55]","Married","Employee"
"24023310","0","0","0","0","F","(35,45]","Divorcee","Employee"
